s:	0	15.41	148.55	0	
s:	1	18.91	144.05	0	
s:	2	26.41	137.55	0	
s:	3	13.91	151.05	0	
s:	4	17.41	146.55	1	
s:	5	11.91	146.05	0	
s:	6	20.41	145.05	1	
s:	7	11.41	146.55	0	
s:	8	18.91	141.05	0	
s:	9	11.91	146.55	1	
s:	10	23.41	138.55	0	
s:	11	19.41	145.05	0	
a:	0	118	0	8.86	Subterranea	
a:	0	68	0	7.57	Subterranea	
a:	0	87	0	8.63	Subterranea	
a:	0	106	0	5.7	Aerea	
a:	0	34	0	6.08	Subterranea	
a:	0	3	0	7.62	Aerea	
a:	0	94	0	7.62	Subterranea	
a:	1	59	0	10.55	Subterranea	
a:	1	56	0	10.69	Aerea	
a:	1	76	0	11.05	Aerea	
a:	1	110	0	11.67	Aerea	
a:	1	93	0	9.55	Aerea	
a:	1	11	0	11.01	Subterranea	
a:	1	28	0	9.51	Subterranea	
a:	1	57	0	11.4	Subterranea	
a:	1	70	0	10.44	Aerea	
a:	1	80	0	9.01	Aerea	
a:	1	19	0	12.26	Subterranea	
a:	1	6	0	12.01	Aerea	
a:	1	58	0	10.61	Subterranea	
a:	1	60	0	10.61	Aerea	
a:	1	92	0	10.61	Aerea	
a:	1	96	0	10.61	Subterranea	
a:	1	98	0	10.61	Aerea	
a:	1	114	0	10.61	Aerea	
a:	2	113	0	19.24	Subterranea	
a:	2	22	0	18.58	Aerea	
a:	2	116	0	19.01	Subterranea	
a:	2	37	0	18.34	Aerea	
a:	2	82	0	21.48	Subterranea	
a:	2	104	0	21.36	Aerea	
a:	2	27	0	17.67	Aerea	
a:	2	52	0	21.91	Aerea	
a:	2	30	0	21.71	Subterranea	
a:	2	62	0	22.3	Aerea	
a:	2	10	0	16.55	Aerea	
a:	2	33	0	16.35	Subterranea	
a:	2	67	0	19.7	Subterranea	
a:	2	95	0	19.7	Subterranea	
a:	2	102	0	19.7	Aerea	
a:	2	108	0	19.7	Aerea	
a:	3	94	0	7.43	Subterranea	
a:	3	97	0	7.43	Aerea	
a:	3	112	0	8.06	Subterranea	
a:	3	50	0	7.38	Subterranea	
a:	3	103	0	6.26	Subterranea	
a:	3	63	0	6.71	Aerea	
a:	3	53	0	5	Aerea	
a:	3	0	0	7.62	Aerea	
a:	3	81	0	6.04	Aerea	
a:	3	23	0	6.04	Aerea	
a:	3	105	0	6.5	Subterranea	
a:	3	117	0	5.15	Aerea	
a:	4	17	0	9.51	Subterranea	
a:	4	87	1	8.63	Aerea	
a:	4	92	0	9	Aerea	
a:	4	114	1	9.5	Subterranea	
a:	4	80	0	9.01	Subterranea	
a:	4	68	0	7.57	Subterranea	
a:	4	118	0	8.86	Aerea	
a:	4	28	1	9.51	Aerea	
a:	4	91	1	10.69	Aerea	
a:	4	54	1	7.76	Aerea	
a:	4	83	0	7.5	Subterranea	
a:	4	93	1	9.55	Subterranea	
a:	4	13	0	9.06	Aerea	
a:	4	16	0	9.06	Aerea	
a:	4	109	1	9.06	Aerea	
a:	5	9	0	3.64	Subterranea	
a:	5	7	0	3.16	Subterranea	
a:	5	115	0	4.53	Aerea	
a:	5	85	0	3.54	Aerea	
a:	5	42	0	2.92	Subterranea	
a:	5	20	0	3.61	Aerea	
a:	5	32	0	4.61	Aerea	
a:	5	99	0	4.3	Subterranea	
a:	5	66	0	4.72	Subterranea	
a:	5	106	0	5.7	Aerea	
a:	5	73	0	3.54	Subterranea	
a:	5	45	0	5.59	Aerea	
a:	5	26	0	3.54	Subterranea	
a:	5	31	0	3.54	Aerea	
a:	5	88	0	3.54	Subterranea	
a:	5	119	0	3.54	Subterranea	
a:	6	1	0	12.01	Aerea	
a:	6	11	0	11.01	Subterranea	
a:	6	76	1	11.05	Aerea	
a:	6	60	1	12.59	Aerea	
a:	6	59	0	10.55	Aerea	
a:	6	110	0	11.67	Subterranea	
a:	6	19	1	12.26	Subterranea	
a:	6	56	0	10.69	Subterranea	
a:	6	16	0	11.1	Aerea	
a:	6	28	1	9.51	Subterranea	
a:	6	114	1	9.5	Subterranea	
a:	6	93	1	9.55	Aerea	
a:	6	98	0	13.34	Aerea	
a:	7	5	0	3.16	Subterranea	
a:	7	9	0	3.64	Aerea	
a:	7	42	0	2.92	Aerea	
a:	7	20	0	3.61	Aerea	
a:	7	85	0	3.54	Subterranea	
a:	7	73	0	3.54	Aerea	
a:	7	115	0	4.53	Aerea	
a:	7	99	0	4.3	Aerea	
a:	7	66	0	4.72	Subterranea	
a:	7	88	0	4.24	Aerea	
a:	7	32	0	4.61	Aerea	
a:	7	106	0	5.7	Subterranea	
a:	7	31	0	0.5	Aerea	
a:	7	26	0	3.16	Subterranea	
a:	7	119	0	3.16	Aerea	
a:	8	49	0	11.18	Subterranea	
a:	8	55	0	11.85	Subterranea	
a:	8	78	0	12.3	Aerea	
a:	8	58	0	10.12	Aerea	
a:	8	18	0	10.06	Subterranea	
a:	8	41	0	12.82	Aerea	
a:	8	70	0	10.44	Subterranea	
a:	8	57	0	11.4	Aerea	
a:	8	90	0	13.46	Subterranea	
a:	8	25	0	13.12	Aerea	
a:	8	35	0	10.82	Subterranea	
a:	8	84	0	9.19	Aerea	
a:	8	71	0	11.42	Subterranea	
a:	8	77	0	11.42	Aerea	
a:	8	100	0	11.42	Aerea	
a:	8	110	0	11.42	Aerea	
a:	9	5	0	3.64	Subterranea	
a:	9	7	0	3.64	Aerea	
a:	9	115	1	4.53	Subterranea	
a:	9	20	0	3.61	Aerea	
a:	9	42	0	2.92	Aerea	
a:	9	85	1	3.54	Aerea	
a:	9	99	0	4.3	Aerea	
a:	9	66	0	4.72	Subterranea	
a:	9	73	1	3.54	Aerea	
a:	9	106	0	5.7	Aerea	
a:	9	88	0	4.24	Aerea	
a:	9	32	1	4.61	Subterranea	
a:	9	23	1	6.04	Subterranea	
a:	9	34	0	6.08	Subterranea	
a:	9	31	0	3.64	Subterranea	
a:	10	2	0	16.55	Aerea	
a:	10	33	0	16.35	Subterranea	
a:	10	102	0	16.56	Aerea	
a:	10	27	0	17.67	Subterranea	
a:	10	47	0	15.04	Aerea	
a:	10	37	0	18.34	Subterranea	
a:	10	22	0	18.58	Subterranea	
a:	10	100	0	14.4	Subterranea	
a:	10	116	0	19.01	Subterranea	
a:	10	101	0	17.33	Subterranea	
a:	10	113	0	19.24	Subterranea	
a:	10	48	0	14.15	Aerea	
a:	10	90	0	13.46	Aerea	
a:	10	104	0	16.55	Subterranea	
a:	11	1	0	11.01	Subterranea	
a:	11	6	0	11.01	Subterranea	
a:	11	76	0	11.05	Aerea	
a:	11	59	0	10.55	Aerea	
a:	11	28	0	9.51	Aerea	
a:	11	114	0	9.5	Subterranea	
a:	11	110	0	11.67	Subterranea	
a:	11	56	0	10.69	Subterranea	
a:	11	93	0	9.55	Subterranea	
a:	11	17	0	9.51	Subterranea	
a:	11	60	0	12.59	Aerea	
a:	11	16	0	11.1	Aerea	
a:	11	80	0	9.01	Aerea	
a:	11	92	0	9	Subterranea	
a:	11	91	0	11.01	Aerea	
a:	12	15	0	8.9	Subterranea	
a:	12	65	1	9.6	Aerea	
a:	12	64	1	6.96	Subterranea	
a:	12	84	0	9.19	Subterranea	
a:	12	44	0	8.38	Aerea	
a:	12	18	1	10.06	Subterranea	
a:	13	91	0	10.69	Aerea	
a:	13	16	0	11.1	Aerea	
a:	13	17	0	9.51	Aerea	
a:	13	4	0	9.06	Aerea	
a:	13	118	0	8.86	Subterranea	
a:	13	87	0	8.63	Aerea	
a:	14	40	0	8.32	Subterranea	
a:	14	43	0	7.5	Subterranea	
a:	14	107	0	8.06	Subterranea	
a:	14	79	0	6.8	Aerea	
a:	14	36	0	6.02	Subterranea	
a:	14	69	0	5.7	Subterranea	
a:	14	75	0	7.91	Aerea	
a:	15	12	0	8.9	Subterranea	
a:	15	65	0	9.6	Subterranea	
a:	15	35	0	10.82	Aerea	
a:	15	18	0	10.06	Aerea	
a:	15	84	0	9.19	Subterranea	
a:	15	49	0	11.18	Aerea	
a:	15	64	0	6.96	Aerea	
a:	16	6	0	11.1	Aerea	
a:	16	11	0	11.1	Aerea	
a:	16	13	0	11.1	Aerea	
a:	16	91	0	10.69	Subterranea	
a:	16	17	0	9.51	Subterranea	
a:	16	4	0	9.06	Aerea	
a:	16	114	0	9.5	Aerea	
a:	16	76	0	11.05	Subterranea	
a:	16	28	0	9.51	Aerea	
a:	16	118	0	11.1	Subterranea	
a:	17	4	0	9.51	Subterranea	
a:	17	11	0	9.51	Subterranea	
a:	17	13	0	9.51	Aerea	
a:	17	16	0	9.51	Subterranea	
a:	17	114	0	9.5	Subterranea	
a:	17	92	0	9	Aerea	
a:	17	28	0	9.51	Aerea	
a:	17	80	0	9.01	Subterranea	
a:	17	87	0	8.63	Aerea	
a:	17	93	0	9.55	Subterranea	
a:	17	68	0	9.51	Aerea	
a:	17	76	0	9.51	Aerea	
a:	17	83	0	9.51	Subterranea	
a:	17	91	0	9.51	Aerea	
a:	17	109	0	9.51	Subterranea	
a:	17	118	0	9.51	Subterranea	
a:	18	8	0	10.06	Subterranea	
a:	18	12	1	10.06	Subterranea	
a:	18	15	0	10.06	Aerea	
a:	18	84	0	9.19	Subterranea	
a:	18	49	1	11.18	Subterranea	
a:	18	58	1	10.12	Subterranea	
a:	18	35	1	10.82	Aerea	
a:	18	55	0	11.85	Subterranea	
a:	18	70	1	10.44	Subterranea	
a:	18	65	1	10.06	Aerea	
a:	18	77	1	10.06	Aerea	
a:	18	78	0	10.06	Aerea	
a:	18	96	0	10.06	Subterranea	
a:	19	1	0	12.26	Subterranea	
a:	19	6	1	12.26	Subterranea	
a:	19	110	0	11.67	Subterranea	
a:	19	60	1	12.59	Subterranea	
a:	19	57	1	11.4	Subterranea	
a:	19	98	0	13.34	Subterranea	
a:	19	56	0	10.69	Subterranea	
a:	19	25	0	13.12	Aerea	
a:	19	51	0	12.26	Aerea	
a:	19	70	1	12.26	Subterranea	
a:	19	76	1	12.26	Aerea	
a:	19	90	1	12.26	Aerea	
a:	19	100	0	12.26	Aerea	
a:	20	5	0	3.61	Aerea	
a:	20	7	0	3.61	Aerea	
a:	20	9	0	3.61	Aerea	
a:	20	42	0	2.92	Aerea	
a:	20	73	0	3.54	Subterranea	
a:	20	99	0	4.3	Subterranea	
a:	20	88	0	4.24	Aerea	
a:	20	66	0	4.72	Aerea	
a:	20	53	0	5	Aerea	
a:	20	31	0	3.61	Aerea	
a:	20	85	0	3.61	Aerea	
a:	20	103	0	3.61	Aerea	
a:	20	115	0	3.61	Subterranea	
a:	20	117	0	3.61	Subterranea	
a:	21	62	1	22.3	Subterranea	
a:	21	104	1	21.36	Subterranea	
a:	21	29	1	23.42	Subterranea	
a:	21	67	1	22.07	Subterranea	
a:	21	95	0	23.72	Aerea	
a:	21	24	0	23.77	Subterranea	
a:	21	82	1	21.98	Aerea	
a:	21	108	1	21.98	Aerea	
a:	21	113	0	21.98	Aerea	
a:	21	116	1	21.98	Subterranea	
a:	22	2	0	18.58	Aerea	
a:	22	10	0	18.58	Subterranea	
a:	22	113	0	19.24	Aerea	
a:	22	37	0	18.34	Subterranea	
a:	22	116	0	19.01	Aerea	
a:	22	27	0	17.67	Subterranea	
a:	22	33	0	16.35	Aerea	
a:	22	102	0	16.56	Subterranea	
a:	22	52	0	18.58	Aerea	
a:	22	82	0	18.58	Aerea	
a:	22	101	0	18.58	Aerea	
a:	22	104	0	18.58	Aerea	
a:	23	0	0	6.04	Subterranea	
a:	23	3	0	6.04	Aerea	
a:	23	9	1	6.04	Subterranea	
a:	23	103	0	6.26	Subterranea	
a:	23	105	0	6.5	Aerea	
a:	23	63	1	6.71	Aerea	
a:	23	106	0	5.7	Aerea	
a:	23	50	0	7.38	Subterranea	
a:	23	66	0	4.72	Aerea	
a:	23	34	0	6.04	Aerea	
a:	23	73	1	6.04	Subterranea	
a:	23	88	0	6.04	Aerea	
a:	23	94	0	6.04	Aerea	
a:	23	99	0	6.04	Subterranea	
a:	23	112	1	6.04	Aerea	
a:	23	115	1	6.04	Aerea	
a:	24	21	0	23.77	Subterranea	
a:	24	29	0	23.42	Subterranea	
a:	24	108	0	24.52	Aerea	
a:	24	95	0	23.72	Subterranea	
a:	24	67	0	22.07	Subterranea	
a:	24	62	0	22.3	Aerea	
a:	24	104	0	21.36	Subterranea	
a:	25	8	0	13.12	Aerea	
a:	25	19	0	13.12	Aerea	
a:	25	41	0	12.82	Aerea	
a:	25	90	0	13.46	Subterranea	
a:	25	51	0	14.08	Aerea	
a:	25	98	0	13.34	Aerea	
a:	25	100	0	14.4	Subterranea	
a:	25	57	0	11.4	Subterranea	
a:	25	47	0	13.12	Aerea	
a:	25	55	0	13.12	Subterranea	
a:	25	78	0	13.12	Aerea	
a:	25	110	0	13.12	Subterranea	
a:	26	31	0	0.5	Subterranea	
a:	26	119	1	0	Subterranea	
a:	26	85	1	3.54	Aerea	
a:	26	32	1	4.61	Aerea	
a:	26	5	0	3.54	Subterranea	
a:	26	7	0	3.16	Subterranea	
a:	27	2	0	17.67	Aerea	
a:	27	10	0	17.67	Subterranea	
a:	27	22	0	17.67	Subterranea	
a:	27	37	0	18.34	Aerea	
a:	27	116	0	19.01	Subterranea	
a:	27	33	0	16.35	Subterranea	
a:	27	102	0	16.56	Aerea	
a:	27	113	0	19.24	Subterranea	
a:	27	101	0	17.33	Subterranea	
a:	27	104	0	17.67	Subterranea	
a:	28	1	0	9.51	Subterranea	
a:	28	4	1	9.51	Aerea	
a:	28	6	1	9.51	Subterranea	
a:	28	11	0	9.51	Aerea	
a:	28	16	0	9.51	Aerea	
a:	28	17	0	9.51	Aerea	
a:	28	80	0	9.01	Aerea	
a:	28	114	1	9.5	Aerea	
a:	28	93	1	9.55	Subterranea	
a:	28	92	0	9	Subterranea	
a:	28	59	0	10.55	Subterranea	
a:	28	76	1	11.05	Aerea	
a:	28	87	1	9.51	Aerea	
a:	28	91	1	9.51	Subterranea	
a:	28	96	0	9.51	Subterranea	
a:	28	109	1	9.51	Aerea	
a:	28	110	0	9.51	Subterranea	
a:	29	21	1	23.42	Subterranea	
a:	29	24	0	23.42	Subterranea	
a:	29	95	0	23.72	Subterranea	
a:	29	67	1	22.07	Aerea	
a:	29	62	1	22.3	Subterranea	
a:	29	108	1	24.52	Subterranea	
a:	29	104	1	21.36	Subterranea	
a:	29	82	1	21.48	Aerea	
a:	30	2	0	21.71	Subterranea	
a:	30	52	0	21.91	Aerea	
a:	30	82	0	21.48	Aerea	
a:	30	116	0	19.01	Aerea	
a:	30	113	0	19.24	Subterranea	
a:	30	104	0	21.36	Aerea	
a:	30	37	0	18.34	Aerea	
a:	30	62	0	21.71	Subterranea	
a:	30	95	0	21.71	Aerea	
a:	31	7	0	0.5	Aerea	
a:	31	26	0	0.5	Subterranea	
a:	31	119	0	0	Aerea	
a:	31	42	0	2.92	Aerea	
a:	31	85	0	3.54	Subterranea	
a:	31	5	0	3.54	Aerea	
a:	31	9	0	3.64	Subterranea	
a:	31	20	0	3.61	Aerea	
a:	31	86	0	0.5	Aerea	
a:	31	89	0	0.5	Aerea	
a:	32	5	0	4.61	Aerea	
a:	32	7	0	4.61	Aerea	
a:	32	9	1	4.61	Subterranea	
a:	32	26	1	4.61	Aerea	
a:	32	45	1	5.59	Subterranea	
a:	32	85	1	3.54	Subterranea	
a:	32	115	1	4.53	Aerea	
a:	32	34	0	6.08	Subterranea	
a:	32	64	1	6.96	Aerea	
a:	32	106	0	5.7	Subterranea	
a:	33	2	0	16.35	Subterranea	
a:	33	10	0	16.35	Subterranea	
a:	33	22	0	16.35	Aerea	
a:	33	27	0	16.35	Subterranea	
a:	33	47	0	15.04	Aerea	
a:	33	102	0	16.56	Aerea	
a:	33	100	0	14.4	Aerea	
a:	33	37	0	18.34	Aerea	
a:	33	116	0	19.01	Aerea	
a:	33	51	0	14.08	Subterranea	
a:	33	90	0	16.35	Aerea	
a:	33	101	0	16.35	Aerea	
a:	33	113	0	16.35	Aerea	
a:	34	0	0	6.08	Subterranea	
a:	34	9	0	6.08	Subterranea	
a:	34	32	0	6.08	Subterranea	
a:	34	106	0	5.7	Aerea	
a:	34	68	0	7.57	Aerea	
a:	34	105	0	6.5	Subterranea	
a:	34	115	0	4.53	Subterranea	
a:	34	23	0	6.04	Aerea	
a:	34	83	0	7.5	Subterranea	
a:	34	45	0	6.08	Aerea	
a:	34	54	0	6.08	Aerea	
a:	34	63	0	6.08	Subterranea	
a:	34	85	0	6.08	Aerea	
a:	34	103	0	6.08	Aerea	
a:	34	109	0	6.08	Aerea	
a:	35	8	0	10.82	Subterranea	
a:	35	15	0	10.82	Aerea	
a:	35	18	1	10.82	Aerea	
a:	35	49	1	11.18	Aerea	
a:	35	65	1	9.6	Aerea	
a:	35	55	0	11.85	Subterranea	
a:	35	77	1	12.5	Aerea	
a:	35	78	0	12.3	Subterranea	
a:	35	71	0	13.2	Aerea	
a:	35	84	0	10.82	Subterranea	
a:	35	111	0	10.82	Aerea	
a:	36	14	0	6.02	Subterranea	
a:	36	69	0	5.7	Subterranea	
a:	36	79	0	6.8	Aerea	
a:	36	43	0	7.5	Aerea	
a:	36	39	0	3.54	Aerea	
a:	36	107	0	8.06	Aerea	
a:	36	75	0	6.32	Aerea	
a:	36	40	0	6.02	Subterranea	
a:	36	86	0	6.02	Subterranea	
a:	36	89	0	6.02	Aerea	
a:	37	2	0	18.34	Aerea	
a:	37	10	0	18.34	Subterranea	
a:	37	22	0	18.34	Subterranea	
a:	37	27	0	18.34	Aerea	
a:	37	30	0	18.34	Aerea	
a:	37	33	0	18.34	Aerea	
a:	37	116	0	19.01	Subterranea	
a:	37	113	0	19.24	Subterranea	
a:	37	102	0	16.56	Aerea	
a:	37	101	0	17.33	Subterranea	
a:	37	82	0	21.48	Aerea	
a:	37	104	0	21.36	Subterranea	
a:	38	61	0	4.03	Subterranea	
a:	38	72	1	5.59	Aerea	
a:	38	75	1	6.32	Subterranea	
a:	38	74	1	5.7	Aerea	
a:	38	46	0	4.47	Subterranea	
a:	38	69	0	5.7	Aerea	
a:	38	39	0	5.02	Aerea	
a:	38	43	1	5.02	Subterranea	
a:	38	79	0	5.02	Aerea	
a:	38	81	1	5.02	Aerea	
a:	38	86	0	5.02	Aerea	
a:	38	89	1	5.02	Subterranea	
a:	38	107	0	5.02	Subterranea	
a:	38	117	1	5.02	Aerea	
a:	39	36	0	3.54	Aerea	
a:	39	86	0	2.83	Subterranea	
a:	39	89	0	3.61	Subterranea	
a:	39	69	0	5.7	Aerea	
a:	39	61	0	4.03	Subterranea	
a:	39	38	0	5.02	Aerea	
a:	39	79	0	6.8	Subterranea	
a:	39	43	0	3.54	Aerea	
a:	39	75	0	3.54	Subterranea	
a:	39	107	0	3.54	Subterranea	
a:	39	119	0	3.54	Aerea	
a:	40	14	0	8.32	Subterranea	
a:	40	107	0	8.06	Subterranea	
a:	40	43	1	7.5	Aerea	
a:	40	79	0	6.8	Aerea	
a:	40	36	0	6.02	Subterranea	
a:	40	69	0	5.7	Aerea	
a:	40	75	1	6.32	Subterranea	
a:	41	8	0	12.82	Aerea	
a:	41	25	0	12.82	Aerea	
a:	41	90	0	13.46	Aerea	
a:	41	78	0	12.3	Aerea	
a:	41	100	0	14.4	Subterranea	
a:	41	51	0	14.08	Aerea	
a:	41	98	0	13.34	Subterranea	
a:	41	57	0	11.4	Subterranea	
a:	41	47	0	12.82	Subterranea	
a:	41	49	0	12.82	Subterranea	
a:	41	55	0	12.82	Subterranea	
a:	41	110	0	12.82	Subterranea	
a:	41	111	0	12.82	Aerea	
a:	42	5	0	2.92	Subterranea	
a:	42	7	0	2.92	Aerea	
a:	42	9	0	2.92	Aerea	
a:	42	20	0	2.92	Aerea	
a:	42	31	0	2.92	Aerea	
a:	42	73	0	3.54	Aerea	
a:	42	99	0	4.3	Subterranea	
a:	42	88	0	4.24	Subterranea	
a:	42	66	0	4.72	Aerea	
a:	42	115	0	4.53	Subterranea	
a:	42	85	0	3.54	Aerea	
a:	42	117	0	2.92	Aerea	
a:	42	119	0	2.92	Subterranea	
a:	43	14	0	7.5	Subterranea	
a:	43	36	0	7.5	Aerea	
a:	43	40	1	7.5	Aerea	
a:	43	79	0	6.8	Subterranea	
a:	43	107	0	8.06	Aerea	
a:	43	69	0	5.7	Subterranea	
a:	43	75	1	6.32	Aerea	
a:	43	39	0	3.54	Aerea	
a:	43	38	1	5.02	Subterranea	
a:	44	12	0	8.38	Aerea	
a:	44	96	0	9.34	Subterranea	
a:	44	84	0	9.19	Subterranea	
a:	44	64	0	6.96	Subterranea	
a:	44	109	0	7.57	Subterranea	
a:	44	58	0	10.12	Aerea	
a:	44	70	0	10.44	Aerea	
a:	44	93	0	8.38	Aerea	
a:	45	5	0	5.59	Aerea	
a:	45	32	1	5.59	Subterranea	
a:	45	115	1	4.53	Subterranea	
a:	45	64	1	6.96	Aerea	
a:	45	109	1	7.57	Aerea	
a:	45	34	0	6.08	Aerea	
a:	45	85	1	3.54	Aerea	
a:	45	83	0	7.5	Subterranea	
a:	45	106	0	5.59	Aerea	
a:	46	38	0	4.47	Subterranea	
a:	46	117	0	5.15	Aerea	
a:	46	53	0	5	Subterranea	
a:	46	88	0	4.24	Subterranea	
a:	46	81	0	6.04	Subterranea	
a:	46	73	0	3.54	Subterranea	
a:	46	74	0	5.7	Aerea	
a:	46	61	0	4.47	Subterranea	
a:	46	72	0	4.47	Aerea	
a:	46	86	0	4.47	Aerea	
a:	46	99	0	4.47	Aerea	
a:	47	10	0	15.04	Aerea	
a:	47	33	0	15.04	Aerea	
a:	47	100	0	14.4	Subterranea	
a:	47	51	0	14.08	Subterranea	
a:	47	90	0	13.46	Aerea	
a:	47	25	0	13.12	Aerea	
a:	47	41	0	12.82	Subterranea	
a:	47	102	0	16.56	Subterranea	
a:	47	98	0	15.04	Aerea	
a:	47	113	0	15.04	Aerea	
a:	47	116	0	15.04	Subterranea	
a:	48	10	0	14.15	Aerea	
a:	48	111	0	14.01	Subterranea	
a:	48	71	0	13.2	Aerea	
a:	48	77	0	12.5	Subterranea	
a:	48	78	0	12.3	Subterranea	
a:	48	55	0	11.85	Subterranea	
a:	48	90	0	13.46	Aerea	
a:	48	100	0	14.15	Aerea	
a:	48	101	0	14.15	Subterranea	
a:	48	102	0	14.15	Aerea	
a:	48	116	0	14.15	Subterranea	
a:	49	8	0	11.18	Subterranea	
a:	49	15	0	11.18	Aerea	
a:	49	18	1	11.18	Subterranea	
a:	49	35	1	11.18	Aerea	
a:	49	55	0	11.85	Subterranea	
a:	49	78	0	12.3	Subterranea	
a:	49	58	1	10.12	Aerea	
a:	49	70	1	10.44	Subterranea	
a:	49	41	0	12.82	Subterranea	
a:	49	84	0	9.19	Aerea	
a:	49	65	1	11.18	Subterranea	
a:	49	71	0	11.18	Subterranea	
a:	49	77	1	11.18	Subterranea	
a:	49	90	1	11.18	Aerea	
a:	49	111	0	11.18	Aerea	
a:	50	0	0	7.38	Aerea	
a:	50	3	0	7.38	Subterranea	
a:	50	23	0	7.38	Subterranea	
a:	50	63	0	6.71	Subterranea	
a:	50	112	0	8.06	Aerea	
a:	50	105	0	6.5	Aerea	
a:	50	103	0	6.26	Aerea	
a:	50	54	0	7.76	Subterranea	
a:	50	94	0	7.43	Aerea	
