s:	0	21.41	145.05	1	
s:	1	32.41	140.55	0	
a:	6	16	1	19.42	Aerea	
a:	6	10	0	11.66	Subterranea	
a:	6	15	1	10.3	Aerea	
a:	6	18	0	17.67	Subterranea	
a:	7	4	0	7	Aerea	
a:	7	11	0	7.91	Subterranea	
a:	7	17	0	10.5	Aerea	
a:	7	13	0	10.61	Aerea	
a:	7	8	0	8.94	Subterranea	
a:	7	9	0	7	Aerea	
a:	7	12	0	7	Aerea	
a:	7	15	0	7	Subterranea	
a:	7	19	0	7	Subterranea	
a:	8	7	0	8.94	Subterranea	
a:	8	15	1	10.3	Aerea	
a:	8	11	1	7.91	Subterranea	
a:	8	10	0	11.66	Aerea	
a:	8	13	0	10.61	Aerea	
a:	8	12	1	8.94	Aerea	
a:	8	14	0	8.94	Aerea	
a:	8	16	1	8.94	Aerea	
a:	8	17	0	8.94	Subterranea	
a:	8	19	0	8.94	Aerea	
a:	9	4	0	1.5	Subterranea	
a:	9	12	0	2.12	Aerea	
a:	9	19	0	0	Subterranea	
a:	9	7	0	7	Aerea	
a:	9	11	0	7.91	Subterranea	
a:	10	6	0	11.66	Subterranea	
a:	10	8	0	11.66	Aerea	
a:	10	15	0	10.3	Subterranea	
a:	10	11	0	7.91	Aerea	
a:	10	14	0	16.12	Subterranea	
a:	10	13	0	10.61	Subterranea	
a:	10	16	0	11.66	Subterranea	
a:	10	17	0	11.66	Subterranea	
a:	10	18	0	11.66	Aerea	
a:	11	7	0	7.91	Subterranea	
a:	11	8	1	7.91	Subterranea	
a:	11	9	0	7.91	Subterranea	
a:	11	10	0	7.91	Aerea	
a:	11	15	1	10.3	Subterranea	
a:	11	13	0	10.61	Subterranea	
a:	11	17	0	10.5	Subterranea	
a:	11	19	0	0	Aerea	
a:	11	12	1	7.91	Subterranea	
a:	12	4	1	2.12	Subterranea	
a:	12	9	0	2.12	Aerea	
a:	12	19	0	0	Subterranea	
a:	12	7	0	7	Aerea	
a:	12	11	1	7.91	Subterranea	
a:	12	8	1	8.94	Aerea	
a:	13	7	0	10.61	Aerea	
a:	13	8	0	10.61	Aerea	
a:	13	10	0	10.61	Subterranea	
a:	13	11	0	10.61	Subterranea	
a:	13	17	0	10.5	Subterranea	
a:	13	15	0	10.3	Aerea	
a:	13	14	0	16.12	Subterranea	
a:	14	5	0	16.12	Subterranea	
a:	14	6	0	16.12	Subterranea	
a:	14	10	0	16.12	Subterranea	
a:	14	13	0	16.12	Subterranea	
a:	14	16	0	19.42	Subterranea	
a:	14	15	0	10.3	Subterranea	
a:	14	8	0	8.94	Aerea	
a:	14	17	0	16.12	Subterranea	
a:	14	18	0	16.12	Aerea	
a:	15	6	1	10.3	Aerea	
a:	15	8	1	10.3	Aerea	
a:	15	10	0	10.3	Subterranea	
a:	15	11	1	10.3	Subterranea	
a:	15	13	0	10.3	Aerea	
a:	15	14	0	10.3	Subterranea	
a:	15	17	0	10.5	Subterranea	
a:	15	7	0	7	Subterranea	
a:	15	16	1	19.42	Aerea	
a:	15	19	0	0	Aerea	
a:	15	18	0	10.3	Subterranea	
a:	16	2	0	19.42	Aerea	
a:	16	3	0	19.42	Aerea	
a:	16	5	1	19.42	Aerea	
a:	16	6	1	19.42	Aerea	
a:	16	14	0	19.42	Subterranea	
a:	16	15	1	19.42	Aerea	
a:	16	10	0	11.66	Subterranea	
a:	16	18	0	27.78	Subterranea	
a:	16	8	1	8.94	Aerea	
a:	16	7	1	12	Aerea	
a:	17	7	0	10.5	Aerea	
a:	17	11	0	10.5	Subterranea	
a:	17	13	0	10.5	Subterranea	
a:	17	15	0	10.5	Subterranea	
a:	17	8	0	8.94	Subterranea	
a:	17	10	0	11.66	Subterranea	
a:	17	14	0	16.12	Subterranea	
a:	17	19	0	10.5	Aerea	
a:	18	2	0	27.78	Aerea	
a:	18	3	0	27.78	Aerea	
a:	18	5	0	27.78	Subterranea	
a:	18	16	0	27.78	Subterranea	
a:	18	6	0	17.67	Subterranea	
a:	18	14	0	16.12	Aerea	
a:	18	10	0	11.66	Aerea	
a:	18	15	0	10.3	Subterranea
a:	19	7	0	7	Subterranea	
a:	19	8	0	8.94	Aerea	
a:	19	17	0	10.5	Aerea	
